position,distance_cm,height_cm,neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],analysis_height_interval,neutron_component_conversion_factor,u_mc_neutron_component_conversion_factor,gamma_component_conversion_factor,u_mc_gamma_component_conversion_factor,theory_neutron_ap_fraction,theory_gamma_ap_fraction
P3,5.0,85.0,19.6582607677422,1.4985053148815364,0.0308712081101665,0.0028171355818625,19.68913197585237,1.498507962935499,19.6582607677422,1.4985053148815364,0.0297621466406333,0.0014020595030219,upper,1.0,0.10780234144981435,1.0372641625257983,0.10652363575573356,0.9984320686077969,0.0015679313922029843
P3,57.0,85.0,7.503068279911689,0.9833970197507012,0.0067120722894857,0.0015385525530023,7.509780352201175,0.9833982233045367,7.503068279911689,0.9833970197507012,0.0063514899321192,0.0006964758368825,upper,1.0,0.18535529074847934,1.0567713026738894,0.2685258020517678,0.9991062225558277,0.0008937774441722971
P3,100.0,85.0,3.5483131922720985,0.6891622281328047,0.0038449988765789,0.0006471795288723,3.5521581911486777,0.6891625320099132,3.5483131922720985,0.6891622281328047,0.0045959355984096,0.000769230644824,upper,1.0,0.2746720813211506,0.8366085194730408,0.1985849459904209,0.9989175597848766,0.0010824402151232812
P3,114.0,85.0,4.0617093748339546,0.6867476376625224,0.0051705815249769,0.0013510141475965,4.066879956358932,0.6867489665622236,4.0617093748339546,0.6867476376625224,0.0018478112266811,0.0003992637673755,upper,1.0,0.2391130761662944,2.7982195639453447,0.9487560342331277,0.9987286122087542,0.001271387791245776
P3,176.0,85.0,1.6339211482314075,0.4434291826713808,0.0021985701512777,0.0009132002720641,1.6361197183826852,0.4434301229949829,1.6339211482314075,0.4434291826713808,0.0010924798597233,0.0002904593321138,upper,1.0,0.38380283207954935,2.01245829084167,0.992475470032381,0.9986562290481708,0.0013437709518292467
P3,200.0,85.0,1.428586413006994,0.4007875175381793,0.0029199451215966,0.0011232039718636,1.4315063581285907,0.4007890914203864,1.428586413006994,0.4007875175381793,0.0008096369551566,0.0002453347562123,upper,1.0,0.3967552384453225,3.606486960605478,1.7660303219436504,0.9979602290237719,0.0020397709762280387
P3,225.0,85.0,0.7619025960245452,0.2465855064623224,0.0014569584085101,0.0007101575399863,0.7633595544330555,0.2465865290745049,0.7619025960245452,0.2465855064623224,0.0004304953993998,0.0001417795544321,upper,1.0,0.45770229599325374,3.3843762570782467,1.9908879075027457,0.9980913864245895,0.0019086135754103164
P3,300.0,85.0,0.6345009943373818,0.2690462480989261,0.0006697513802756,0.0002962398466065,0.6351707457176575,0.269046411189883,0.6345009943373818,0.2690462480989261,0.0006069293791488,0.0002064324559373,upper,1.0,0.5996662832096072,1.1035079257736804,0.6157204567793435,0.9989455569470238,0.0010544430529760482
P3,400.0,85.0,0.485841610369534,0.2840260755271255,0.0003739251687849,0.000218453082987,0.486215535538319,0.2840261595365643,0.485841610369534,0.2840260755271255,0.000378699983078,0.0001898035699161,upper,1.0,0.826758185188277,0.9873915645459204,0.7600398358289847,0.9992309477146365,0.0007690522853633308
P4,0.0,42.0,17.701893173311774,1.4745276221812191,0.0058024312080461,0.0006322992986968,17.70769560451982,1.4745277577508682,17.701893173311774,1.4745276221812191,0.0035714046041397,0.0002711728911224,lower,1.0,0.1178007878008396,1.6246916412999983,0.2157843488232577,0.9996723214958266,0.0003276785041733523
P4,20.0,42.0,12.650542755496488,1.2041698178835762,0.0051742136284267,0.0007721907455204,12.655716969124915,1.204170065472611,12.650542755496488,1.2041698178835762,0.0041215367231428,0.0003548514583289,lower,1.0,0.13461503753357804,1.2554088380125363,0.2162976431932636,0.9995911560252927,0.0004088439747072246
P4,71.0,42.0,5.230060516129014,0.7766678391108236,0.0025359693844018,0.0004710264750707,5.232596485513416,0.7766679819427451,5.230060516129014,0.7766678391108236,0.0016524258266057,0.0002848493175767,lower,1.0,0.2100117557229499,1.534694836869631,0.3889003400915661,0.9995153516248725,0.0004846483751274724
P4,85.0,45.0,4.247037163702468,0.6541284611997993,0.0024430912515458,0.0004407145542657,4.249480254954014,0.6541286096639832,4.247037163702468,0.6541284611997993,0.0013072796289976,0.000264522187521,lower,1.0,0.21781710536211513,1.8688360143874658,0.5066064271667442,0.9994250846915461,0.0005749153084539366
P4,152.0,113.0,2.916472851025909,0.6219148112493235,0.0011838276001011,0.0004608733961559,2.91765667862601,0.6219149820156843,2.916472851025909,0.6219148112493235,0.001054446746062,0.0002992385446161,upper,1.0,0.3015698776006482,1.1227002259927241,0.5408756975388348,0.9995942539748514,0.00040574602514871315
P5,0.0,45.0,93.40929036249908,3.521472073005034,0.0947547921841554,0.0084144361102932,93.50404515468324,3.521482125993177,93.40929036249908,3.521472073005034,0.0896683951244921,0.0033838676927468,lower,1.0,0.05331497055416211,1.0567245243165282,0.10196137286839219,0.9989866236051348,0.001013376394865089
P5,6.0,45.0,76.73256730359041,3.072980826900084,0.0837308829406217,0.0090154606781545,76.81629818653104,3.0729940515768592,76.73256730359041,3.072980826900084,0.0706191379977894,0.0034654011513474,lower,1.0,0.056636332069020176,1.1856684365538805,0.14029651008572128,0.9989099854468735,0.0010900145531264752
P5,0.0,85.0,33.10702053839006,2.12522867193718,0.1001638670651971,0.0064844589000948,33.20718440545526,2.125238564545424,33.10702053839006,2.12522867193718,0.0517235484082985,0.0016312949327245,upper,1.0,0.09078217133772543,1.9365235013367115,0.1394534294741011,0.9969836687795566,0.003016331220443436
P5,6.0,85.0,29.903527880843477,2.14569324531484,0.0792814113200763,0.0048065154279442,29.982809292163548,2.1456986287874376,29.903527880843477,2.14569324531484,0.0529373955628184,0.0017063092633213,upper,1.0,0.10147526741018743,1.497644726892479,0.10283108875707968,0.9973557710837726,0.0026442289162275953
